Country;HDI_Value_Latest;Life_Expectancy;GNI_per_capita_PPP;Inflation_Rate_National_Latest_Pct;Crime_Index;Safety_Index;Unemployment_Rate_National_Latest_Pct;English_EPI_Score;Cuisine_Rank
Albania;0.785;76.5;15313;2.4;44.2;55.8;10.25;533;56
Andorra;0.884;80.4;NaN;3.1;15.2;84.8;1.5;531;100
Austria;0.926;81.6;56664;3.3;28.3;71.7;5.439;600;30
Belgium;0.937;82.4;54952;2.15;49.5;50.5;5.9;592;36
Bosnia and Herzegovina;0.779;75.6;15648;3.7;41.2;58.8;10.723;568;44
Bulgaria;0.799;73.6;25296;4.4;35.9;64.1;4.104;586;24
Croatia;0.85;78.4;33143;3.7;25.4;74.6;5.236;607;21
Czechia;0.895;77.4;41194;2.9;26.6;73.4;2.506;567;31
Denmark;0.952;81.6;66613;1.9;26;74;5.587;603;62
Estonia;0.89;77.2;40589;5;23.5;76.5;7.828;578;80
Finland;0.942;82;51691;0.2;26.5;73.5;8.26;590;71
France;0.91;82.4;49021;1;55.6;44.4;7.37;524;5
Germany;0.95;80.9;57983;2;39.6;60.4;3.406;598;12
Greece;0.887;80.7;32605;2.8;46.4;53.6;10.133;602;3
Hungary;0.851;74.5;34449;4.6;33.7;66.3;4.434;585;20
Iceland;0.959;83.4;57092;4.2;25.8;74.2;3.107;603;95
Ireland;0.95;82.8;83398;1.8;48.6;51.4;4.369;650;48
Italy;0.89;83.1;43767;1.7;47.2;52.8;6.778;528;1
Latvia;0.863;73.4;33391;3.8;36.6;63.4;6.72;578;100
Liechtenstein;0.942;84.5;NaN;0.1;25.2;74.8;1.6;575;100
Lithuania;0.879;74.2;41234;3.7;33;67;7.504;569;89
Luxembourg;0.927;83;83731;2.19;34;66;5.935;576;90
Malta;0.915;83.8;47605;2.5;43;57;2.703;636;100
Moldova;0.763;68.9;14484;8.2;44.7;55.3;1.434;536;100
Monaco;0.96;87;NaN;5.3;24.7;75.3;1;524;100
Montenegro;0.834;74.4;23945;4.2;35;65;14.1;568;73
Netherlands;0.946;81.7;61798;3.1;25.8;74.2;3.599;636;33
North Macedonia;0.765;74;17049;4.5;41.4;58.6;13.417;568;77
Norway;0.966;83.2;66645;3;32.8;67.2;3.97;610;81
Poland;0.881;75.5;37181;4.1;28.7;71.3;2.472;588;11
Portugal;0.874;81.5;36831;2.4;32.4;67.6;6.384;605;6
Romania;0.827;74.2;32159;5.66;32.6;67.4;5.379;593;17
Serbia;0.805;74;20380;4.6;37.2;62.8;7.39;568;34
Slovakia;0.871;74.8;33594;4.3;31;69;5.234;584;49
Slovenia;0.926;81.6;41617;2.2;24.4;75.6;3.357;607;40
Spain;0.911;83.2;41208;2.3;37.2;62.8;11.394;538;4
Sweden;0.952;83;55935;0.7;48.1;51.9;8.528;608;66
Switzerland;0.967;84.3;72370;0.1;26.7;73.3;4.11;550;45
Turkey;0.84;76;35979;35.05;41.4;58.6;8.449;497;15
United Kingdom;0.94;80.7;49754;3.6;48.4;51.6;4.111;650;29
